"","State","Party","Year"
"1","Alabama",1,2015
"2","Alaska",0,2015
"3","Arizona",1,2015
"4","Arkansas",0,2015
"5","California",0,2015
"6","Colorado",0,2015
"7","Connecticut",0,2015
"8","Delaware",0,2015
"9","Florida",1,2015
"10","Georgia",1,2015
"11","Hawaii",0,2015
"12","Idaho",1,2015
"13","Illinois",0,2015
"14","Indiana",1,2015
"15","Iowa",1,2015
"16","Kansas",1,2015
"17","Kentucky",0,2015
"18","Louisiana",1,2015
"19","Maine",1,2015
"20","Maryland",0,2015
"21","Massachusetts",0,2015
"22","Michigan",1,2015
"23","Minnesota",0,2015
"24","Mississippi",1,2015
"25","Missouri",0,2015
"26","Montana",0,2015
"27","Nebraska",1,2015
"28","Nevada",1,2015
"29","New Hampshire",0,2015
"30","New Jersey",1,2015
"31","New Mexico",1,2015
"32","New York",0,2015
"33","North Carolina",1,2015
"34","North Dakota",1,2015
"35","Ohio",1,2015
"36","Oklahoma",1,2015
"37","Oregon",0,2015
"38","Pennsylvania",1,2015
"39","Rhode Island",0,2015
"40","South Carolina",1,2015
"41","South Dakota",1,2015
"42","Tennessee",1,2015
"43","Texas",1,2015
"44","Utah",1,2015
"45","Vermont",0,2015
"46","Virginia",0,2015
"47","Washington",0,2015
"48","West Virginia",0,2015
"49","Wisconsin",1,2015
"50","Wyoming",1,2015
"51","Alabama",1,2016
"52","Alaska",0,2016
"53","Arizona",1,2016
"54","Arkansas",1,2016
"55","California",0,2016
"56","Colorado",0,2016
"57","Connecticut",0,2016
"58","Delaware",0,2016
"59","Florida",1,2016
"60","Georgia",1,2016
"61","Hawaii",0,2016
"62","Idaho",1,2016
"63","Illinois",1,2016
"64","Indiana",1,2016
"65","Iowa",1,2016
"66","Kansas",1,2016
"67","Kentucky",1,2016
"68","Louisiana",0,2016
"69","Maine",1,2016
"70","Maryland",1,2016
"71","Massachusetts",1,2016
"72","Michigan",1,2016
"73","Minnesota",0,2016
"74","Mississippi",1,2016
"75","Missouri",0,2016
"76","Montana",0,2016
"77","Nebraska",1,2016
"78","Nevada",1,2016
"79","New Hampshire",1,2016
"80","New Jersey",1,2016
"81","New Mexico",1,2016
"82","New York",0,2016
"83","North Carolina",0,2016
"84","North Dakota",1,2016
"85","Ohio",1,2016
"86","Oklahoma",1,2016
"87","Oregon",0,2016
"88","Pennsylvania",0,2016
"89","Rhode Island",0,2016
"90","South Carolina",1,2016
"91","South Dakota",1,2016
"92","Tennessee",1,2016
"93","Texas",1,2016
"94","Utah",1,2016
"95","Vermont",0,2016
"96","Virginia",0,2016
"97","Washington",0,2016
"98","West Virginia",0,2016
"99","Wisconsin",1,2016
"100","Wyoming",1,2016
"101","Alabama",1,2017
"102","Alaska",0,2017
"103","Arizona",1,2017
"104","Arkansas",1,2017
"105","California",0,2017
"106","Colorado",0,2017
"107","Connecticut",0,2017
"108","Delaware",0,2017
"109","Florida",1,2017
"110","Georgia",1,2017
"111","Hawaii",0,2017
"112","Idaho",1,2017
