year,state,nuber_photovoltaic_shipments
2015,Alabama,
2015,Alaska,
2015,Arkansas,
2015,Arizona,"402,754"
2015,California,"3,671,381"
2015,Colorado,"113,999"
2015,Connecticut,"99,213"
2015,District of Columbia,
2015,Delaware,"8,086"
2015,Florida,"56,025"
2015,Georgia,"355,174"
2015,Guam,
2015,Hawaii,"74,912"
2015,Iowa,"6,913"
2015,Idaho,622
2015,Illinois,"6,796"
2015,Indiana,"45,324"
2015,Kansas,
2015,Kentucky,
2015,Louisiana,"7,806"
2015,Massachusetts,"172,479"
2015,Maryland,"199,459"
2015,Maine,"7,248"
2015,Michigan,"7,636"
2015,Minnesota,"10,467"
2015,Missouri,"14,464"
2015,Mississippi,
2015,Montana,499
2015,Nebraska,
2015,New Hampshire,"37,913"
2015,New Jersey,"704,776"
2015,New Mexico,"55,490"
2015,New York,"188,412"
2015,Nevada,"673,593"
2015,North Carolina,"1,370,753"
2015,North Dakota,
2015,Ohio,"9,942"
2015,Oklahoma,
2015,Oregon,"66,816"
2015,Pennsylvania,"13,651"
2015,Puerto Rico,"36,979"
2015,Rhode Island,"10,050"
2015,South Carolina,"10,057"
2015,South Dakota,
2015,Tennessee,"8,943"
2015,Texas,"360,194"
2015,Utah,"222,505"
2015,Vermont,"34,364"
2015,Virginia,
2015,Washington,"2,114"
2015,Wisconsin,"4,812"
2015,West Virginia,
2015,Wyoming,133
2016,Alabama,
2016,Alaska,
2016,Arkansas,145
2016,Arizona,"803,400"
2016,California,"3,395,775"
2016,Colorado,"79,489"
2016,Connecticut,"109,217"
2016,District of Columbia,"9,332"
2016,Delaware,
2016,Florida,"467,599"
2016,Georgia,"756,458"
2016,Guam,
2016,Hawaii,"109,648"
2016,Iowa,"24,830"
2016,Idaho,"207,953"
2016,Illinois,"11,687"
2016,Indiana,"44,159"
2016,Kansas,"1,298"
2016,Kentucky,"14,587"
2016,Louisiana,"2,634"
2016,Massachusetts,"512,035"
2016,Maryland,"141,104"
2016,Maine,
2016,Michigan,"72,311"
2016,Minnesota,"447,968"
2016,Missouri,"15,489"
2016,Mississippi,"85,350"
2016,Montana,"8,003"
2016,Nebraska,"7,036"
2016,New Hampshire,"7,354"
2016,New Jersey,"540,433"
2016,New Mexico,"243,101"
2016,New York,"203,063"
2016,Nevada,"553,351"
2016,North Carolina,"963,800"
2016,North Dakota,
2016,Ohio,"36,648"
2016,Oklahoma,800
2016,Oregon,"270,760"
2016,Pennsylvania,"39,627"
2016,Puerto Rico,"80,530"
2016,Rhode Island,"4,619"
2016,South Carolina,"53,642"
2016,South Dakota,
2016,Tennessee,"63,095"
2016,Texas,"767,004"
2016,Utah,"234,023"
2016,Vermont,"67,136"
2016,Virginia,"248,127"
2016,Washington,"5,316"
2016,Wisconsin,"4,870"
2016,West Virginia,
2016,Wyoming,116
2017,Alabama,
2017,Alaska,
2017,Arkansas,
2017,Arizona,"279,104"
2017,California,"2,726,065"
2017,Colorado,"76,994"
2017,Connecticut,"118,755"
2017,District of Columbia,"3,732"
2017,Delaware,"14,027"
2017,Florida,
2017,Georgia,"49,431"
2017,Guam,
2017,Hawaii,"33,296"
2017,Iowa,"14,854"
2017,Idaho,"1,802"
2017,Illinois,"11,662"
2017,Indiana,"46,657"
2017,Kansas,"2,637"
2017,Kentucky,
2017,Louisiana,"2,303"
2017,Massachusetts,"307,196"
2017,Maryland,"218,260"
2017,Maine,"12,241"
2017,Michigan,"26,963"
2017,Minnesota,"312,328"
2017,Missouri,"28,497"
2017,Mississippi,
2017,Montana,
2017,Nebraska,
2017,New Hampshire,"6,158"
2017,New Jersey,"450,493"
