SAEMP25N Total full-time and part-time employment by NAICS industry 1/,,,,
SAEMP25N Total full-time and part-time employment by NAICS industry 1/,,,,
State or DC,,,,
GeoFips,GeoName,LineCode,Description,2020
0,United States,,Employment by place of work,
0,United States,10,Total employment (number of jobs),195301600
0,United States,,By type,
0,United States,20,  Wage and salary employment,147228000
0,United States,40,  Proprietors employment,48073600
0,United States,50,    Farm proprietors employment,1782000
0,United States,60,Nonfarm proprietors employment 2/,46291600
0,United States,,By industry,
0,United States,70,  Farm employment,2591000
0,United States,80,  Nonfarm employment,192710600
0,United States,90,    Private nonfarm employment,168578600
0,United States,100,"      Forestry, fishing, and related activities",937100
0,United States,200,"      Mining, quarrying, and oil and gas extraction",979200
0,United States,300,      Utilities,591400
0,United States,400,      Construction,11278000
0,United States,500,      Manufacturing,12860000
0,United States,600,      Wholesale trade,6234000
0,United States,700,      Retail trade,18407700
0,United States,800,      Transportation and warehousing,9711600
0,United States,900,      Information,3292800
0,United States,1000,      Finance and insurance,11347000
0,United States,1100,      Real estate and rental and leasing,9827300
0,United States,1200,"      Professional, scientific, and technical services",14389100
0,United States,1300,      Management of companies and enterprises,2717600
0,United States,1400,      Administrative and support and waste management and remediation services,11863500
0,United States,1500,      Educational services,4531500
0,United States,1600,      Health care and social assistance,22524100
0,United States,1700,"      Arts, entertainment, and recreation",3853000
0,United States,1800,      Accommodation and food services,12382900
0,United States,1900,      Other services (except government and government enterprises),10850800
0,United States,2000,    Government and government enterprises,24132000
0,United States,2001,      Federal civilian,2982000
0,United States,2002,      Military,1913000
0,United States,2010,      State and local,19237000
0,United States,2011,        State government,5370000
0,United States,2012,        Local government,13867000
1000,Alabama,,Employment by place of work,
1000,Alabama,10,Total employment (number of jobs),2671253
1000,Alabama,,By type,
1000,Alabama,20,  Wage and salary employment,2044151
1000,Alabama,40,  Proprietors employment,627102
1000,Alabama,50,    Farm proprietors employment,34755
1000,Alabama,60,Nonfarm proprietors employment 2/,592347
1000,Alabama,,By industry,
1000,Alabama,70,  Farm employment,41181
1000,Alabama,80,  Nonfarm employment,2630072
1000,Alabama,90,    Private nonfarm employment,2223316
1000,Alabama,100,"      Forestry, fishing, and related activities",15982
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",8739
1000,Alabama,300,      Utilities,13509
1000,Alabama,400,      Construction,157497
1000,Alabama,500,      Manufacturing,269248
1000,Alabama,600,      Wholesale trade,80840
1000,Alabama,700,      Retail trade,279556
1000,Alabama,800,      Transportation and warehousing,98407
1000,Alabama,900,      Information,25564
1000,Alabama,1000,      Finance and insurance,120357
1000,Alabama,1100,      Real estate and rental and leasing,118461
1000,Alabama,1200,"      Professional, scientific, and technical services",158952
1000,Alabama,1300,      Management of companies and enterprises,19567
1000,Alabama,1400,      Administrative and support and waste management and remediation services,180248
1000,Alabama,1500,      Educational services,37462
1000,Alabama,1600,      Health care and social assistance,251816
1000,Alabama,1700,"      Arts, entertainment, and recreation",37611
1000,Alabama,1800,      Accommodation and food services,179356
1000,Alabama,1900,      Other services (except government and government enterprises),170144
1000,Alabama,2000,    Government and government enterprises,406756
1000,Alabama,2001,      Federal civilian,55961
1000,Alabama,2002,      Military,28575
1000,Alabama,2010,      State and local,322220
1000,Alabama,2011,        State government,111438
1000,Alabama,2012,        Local government,210782
2000,Alaska,,Employment by place of work,
2000,Alaska,10,Total employment (number of jobs),430824
2000,Alaska,,By type,
2000,Alaska,20,  Wage and salary employment,331865
2000,Alaska,40,  Proprietors employment,98959
2000,Alaska,50,    Farm proprietors employment,918
2000,Alaska,60,Nonfarm proprietors employment 2/,98041
2000,Alaska,,By industry,
2000,Alaska,70,  Farm employment,1412
2000,Alaska,80,  Nonfarm employment,429412
2000,Alaska,90,    Private nonfarm employment,328522
2000,Alaska,100,"      Forestry, fishing, and related activities",
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",13697
2000,Alaska,300,      Utilities,2467
2000,Alaska,400,      Construction,23285
2000,Alaska,500,      Manufacturing,
2000,Alaska,600,      Wholesale trade,7072
2000,Alaska,700,      Retail trade,41886
2000,Alaska,800,      Transportation and warehousing,24037
2000,Alaska,900,      Information,5956
2000,Alaska,1000,      Finance and insurance,11771
2000,Alaska,1100,      Real estate and rental and leasing,17033
2000,Alaska,1200,"      Professional, scientific, and technical services",22381
2000,Alaska,1300,      Management of companies and enterprises,3435
2000,Alaska,1400,      Administrative and support and waste management and remediation services,16105
2000,Alaska,1500,      Educational services,4922
2000,Alaska,1600,      Health care and social assistance,52252
2000,Alaska,1700,"      Arts, entertainment, and recreation",8852
2000,Alaska,1800,      Accommodation and food services,28850
2000,Alaska,1900,      Other services (except government and government enterprises),19689
2000,Alaska,2000,    Government and government enterprises,100890
2000,Alaska,2001,      Federal civilian,15438
2000,Alaska,2002,      Military,26561
2000,Alaska,2010,      State and local,58891
2000,Alaska,2011,        State government,22625
2000,Alaska,2012,        Local government,36266
4000,Arizona,,Employment by place of work,
4000,Arizona,10,Total employment (number of jobs),3920036
4000,Arizona,,By type,
4000,Arizona,20,  Wage and salary employment,2967819
4000,Arizona,40,  Proprietors employment,952217
4000,Arizona,50,    Farm proprietors employment,17845
4000,Arizona,60,Nonfarm proprietors employment 2/,934372
4000,Arizona,,By industry,
4000,Arizona,70,  Farm employment,30310
4000,Arizona,80,  Nonfarm employment,3889726
4000,Arizona,90,    Private nonfarm employment,3437543
4000,Arizona,100,"      Forestry, fishing, and related activities",14624
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",18519
4000,Arizona,300,      Utilities,12743
4000,Arizona,400,      Construction,244946
4000,Arizona,500,      Manufacturing,191561
4000,Arizona,600,      Wholesale trade,111657
4000,Arizona,700,      Retail trade,392965
4000,Arizona,800,      Transportation and warehousing,203827
4000,Arizona,900,      Information,57227
4000,Arizona,1000,      Finance and insurance,279780
4000,Arizona,1100,      Real estate and rental and leasing,228281
4000,Arizona,1200,"      Professional, scientific, and technical services",260112
4000,Arizona,1300,      Management of companies and enterprises,42258
