SAEMP25N Total full-time and part-time employment by NAICS industry 1/,,,,
SAEMP25N Total full-time and part-time employment by NAICS industry 1/,,,,
State or DC,,,,
GeoFips,GeoName,LineCode,Description,2020
0,United States,,Employment by place of work,
0,United States,10,Total employment (number of jobs),195301600
0,United States,,By type,
0,United States,20,  Wage and salary employment,147228000
0,United States,40,  Proprietors employment,48073600
0,United States,50,    Farm proprietors employment,1782000
0,United States,60,Nonfarm proprietors employment 2/,46291600
0,United States,,By industry,
0,United States,70,  Farm employment,2591000
0,United States,80,  Nonfarm employment,192710600
0,United States,90,    Private nonfarm employment,168578600
0,United States,100,"      Forestry, fishing, and related activities",937100
0,United States,101,        Forestry and logging,116900
0,United States,102,"        Fishing, hunting and trapping",102300
0,United States,103,        Support activities for agriculture and forestry,717900
0,United States,200,"      Mining, quarrying, and oil and gas extraction",979200
0,United States,201,        Oil and gas extraction,465700
0,United States,202,        Mining (except oil and gas),231100
0,United States,203,        Support activities for mining,282400
0,United States,300,      Utilities,591400
0,United States,400,      Construction,11278000
0,United States,401,        Construction of buildings,2559000
0,United States,402,        Heavy and civil engineering construction,1202200
0,United States,403,        Specialty trade contractors,7516800
0,United States,500,      Manufacturing,12860000
0,United States,510,        Durable goods manufacturing,7968300
0,United States,511,          Wood product manufacturing,439900
0,United States,512,          Nonmetallic mineral product manufacturing,428200
0,United States,513,          Primary metal manufacturing,362800
0,United States,514,          Fabricated metal product manufacturing,1441700
0,United States,515,          Machinery manufacturing,1094000
0,United States,516,          Computer and electronic product manufacturing,1083800
0,United States,517,"          Electrical equipment, appliance, and component manufacturing",399900
0,United States,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",894800
0,United States,519,          Other transportation equipment manufacturing,722200
0,United States,521,          Furniture and related product manufacturing,399500
0,United States,522,          Miscellaneous manufacturing,701500
0,United States,530,        Nondurable goods manufacturing,4891700
0,United States,531,          Food manufacturing,1692100
0,United States,532,          Beverage and tobacco product manufacturing,294400
0,United States,533,          Textile mills,102800
0,United States,534,          Textile product mills,112800
0,United States,535,          Apparel manufacturing,140300
0,United States,536,          Leather and allied product manufacturing,35100
0,United States,537,          Paper manufacturing,354500
0,United States,538,          Printing and related support activities,439200
0,United States,539,          Petroleum and coal products manufacturing,114700
0,United States,541,          Chemical manufacturing,896400
0,United States,542,          Plastics and rubber products manufacturing,709400
0,United States,600,      Wholesale trade,6234000
0,United States,700,      Retail trade,18407700
0,United States,701,        Motor vehicle and parts dealers,2122800
0,United States,702,        Furniture and home furnishings stores,470700
0,United States,703,        Electronics and appliance stores,462400
0,United States,704,        Building material and garden equipment and supplies dealers,1414400
0,United States,705,        Food and beverage stores,3287300
0,United States,706,        Health and personal care stores,1188400
0,United States,707,        Gasoline stations,963300
0,United States,708,        Clothing and clothing accessories stores,1222100
0,United States,709,"        Sporting goods, hobby, musical instrument, and book stores",650400
0,United States,711,        General merchandise stores,2996300
0,United States,712,        Miscellaneous store retailers,1543500
0,United States,713,        Nonstore retailers,2086100
0,United States,800,      Transportation and warehousing,9711600
0,United States,801,        Air transportation,494700
0,United States,802,        Rail transportation,156100
0,United States,803,        Water transportation,65300
0,United States,804,        Truck transportation,2321600
0,United States,805,        Transit and ground passenger transportation,1947900
0,United States,806,        Pipeline transportation,51500
0,United States,807,        Scenic and sightseeing transportation,34000
0,United States,808,        Support activities for transportation,787900
0,United States,809,        Couriers and messengers,2300500
0,United States,811,        Warehousing and storage,1552100
0,United States,900,      Information,3292800
0,United States,901,        Publishing industries (except Internet),929700
0,United States,902,        Motion picture and sound recording industries,387200
0,United States,903,        Broadcasting (except Internet),298700
0,United States,904,Internet publishing and broadcasting 3/,
0,United States,905,        Telecommunications,858200
0,United States,906,"        Data processing, hosting, and related services",443600
0,United States,907,Other information services 3/,375400
0,United States,1000,      Finance and insurance,11347000
0,United States,1001,        Monetary Authorities-central bank,20000
0,United States,1002,        Credit intermediation and related activities,2905500
0,United States,1003,"        Securities, commodity contracts, and other financial investments and related activities",4278200
0,United States,1004,        Insurance carriers and related activities,3514800
0,United States,1005,"        Funds, trusts, and other financial vehicles",628500
0,United States,1100,      Real estate and rental and leasing,9827300
0,United States,1101,        Real estate,9096600
0,United States,1102,        Rental and leasing services,703300
0,United States,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),27400
0,United States,1200,"      Professional, scientific, and technical services",14389100
0,United States,1300,      Management of companies and enterprises,2717600
0,United States,1400,      Administrative and support and waste management and remediation services,11863500
0,United States,1401,        Administrative and support services,11389400
0,United States,1402,        Waste management and remediation services,474100
0,United States,1500,      Educational services,4531500
0,United States,1600,      Health care and social assistance,22524100
0,United States,1601,        Ambulatory health care services,9154200
0,United States,1602,        Hospitals,5128500
0,United States,1603,        Nursing and residential care facilities,3362000
0,United States,1604,        Social assistance,4879400
0,United States,1700,"      Arts, entertainment, and recreation",3853000
0,United States,1701,"        Performing arts, spectator sports, and related industries",2153200
0,United States,1702,"        Museums, historical sites, and similar institutions",138500
0,United States,1703,"        Amusement, gambling, and recreation industries",1561300
0,United States,1800,      Accommodation and food services,12382900
0,United States,1801,        Accommodation,1667300
0,United States,1802,        Food services and drinking places,10715600
0,United States,1900,      Other services (except government and government enterprises),10850800
0,United States,1901,        Repair and maintenance,2329400
0,United States,1902,        Personal and laundry services,4247000
0,United States,1903,"        Religious, grantmaking, civic, professional, and similar organizations",3145400
0,United States,1904,        Private households,1129000
0,United States,2000,    Government and government enterprises,24132000
0,United States,2001,      Federal civilian,2982000
0,United States,2002,      Military,1913000
0,United States,2010,      State and local,19237000
0,United States,2011,        State government,5370000
0,United States,2012,        Local government,13867000
1000,Alabama,,Employment by place of work,
1000,Alabama,10,Total employment (number of jobs),2671253
1000,Alabama,,By type,
1000,Alabama,20,  Wage and salary employment,2044151
1000,Alabama,40,  Proprietors employment,627102
1000,Alabama,50,    Farm proprietors employment,34755
1000,Alabama,60,Nonfarm proprietors employment 2/,592347
1000,Alabama,,By industry,
1000,Alabama,70,  Farm employment,41181
1000,Alabama,80,  Nonfarm employment,2630072
