"State","Year","MedHouseholdIncome"
"Alabama",2021,53913
"Alaska",2021,77845
"Arizona",2021,69056
"Arkansas",2021,52528
"California",2021,84907
"Colorado",2021,82254
"Connecticut",2021,83771
"Delaware",2021,71091
"District of Columbia",2021,90088
"Florida",2021,63062
"Georgia",2021,66559
"Hawaii",2021,84857
"Idaho",2021,66474
"Illinois",2021,72205
"Indiana",2021,62743
"Iowa",2021,65600
"Kansas",2021,64124
"Kentucky",2021,55573
"Louisiana",2021,52087
"Maine",2021,64767
"Maryland",2021,90203
"Massachusetts",2021,89645
"Michigan",2021,63498
"Minnesota",2021,77720
"Mississippi",2021,48716
"Missouri",2021,61847
"Montana",2021,63249
"Nebraska",2021,66817
"Nevada",2021,66274
"New Hampshire",2021,88465
"New Jersey",2021,89296
"New Mexico",2021,53992
"New York",2021,74314
"North Carolina",2021,61972
"North Dakota",2021,66519
"Ohio",2021,62262
"Oklahoma",2021,55826
"Oregon",2021,71562
"Pennsylvania",2021,68957
"Rhode Island",2021,74008
"South Carolina",2021,59318
"South Dakota",2021,66143
"Tennessee",2021,59695
"Texas",2021,66963
"Utah",2021,79449
"Vermont",2021,72431
"Virginia",2021,80963
"Washington",2021,84247
"West Virginia",2021,51248
"Wisconsin",2021,67125
"Wyoming",2021,65204
"Alabama",2020,57243
"Alaska",2020,78236
"Arizona",2020,70220
"Arkansas",2020,53148
"California",2020,81278
"Colorado",2020,87689
"Connecticut",2020,83141
"Delaware",2020,73292
"District of Columbia",2020,92337
"Florida",2020,60460
"Georgia",2020,62033
"Hawaii",2020,84600
"Idaho",2020,69841
"Illinois",2020,77805
"Indiana",2020,69925
"Iowa",2020,72030
"Kansas",2020,76495
"Kentucky",2020,59405
"Louisiana",2020,53576
"Maine",2020,66667
"Maryland",2020,99215
"Massachusetts",2020,91912
"Michigan",2020,67399
"Minnesota",2020,82431
"Mississippi",2020,47242
"Missouri",2020,65081
"Montana",2020,59390
"Nebraska",2020,75622
"Nevada",2020,64020
"New Hampshire",2020,93045
"New Jersey",2020,89543
"New Mexico",2020,53283
"New York",2020,71865
"North Carolina",2020,63252
"North Dakota",2020,67109
"Ohio",2020,63198
"Oklahoma",2020,54921
"Oregon",2020,80443
"Pennsylvania",2020,74094
"Rhode Island",2020,83918
"South Carolina",2020,63159
"South Dakota",2020,73467
"Tennessee",2020,57542
"Texas",2020,71599
"Utah",2020,87915
