"","NAME","YEAR","POPULATION"
"1","United States","2000",282162411
"2","Alabama","2000",4452173
"3","Alaska","2000",627963
"4","Arizona","2000",5160586
"5","Arkansas","2000",2678588
"6","California","2000",33987977
"7","Colorado","2000",4326921
"8","Connecticut","2000",3411777
"9","Delaware","2000",786373
"10","District of Columbia","2000",572046
"11","Florida","2000",16047515
"12","Georgia","2000",8227303
"13","Hawaii","2000",1213519
"14","Idaho","2000",1299430
"15","Illinois","2000",12434161
"16","Indiana","2000",6091866
"17","Iowa","2000",2929067
"18","Kansas","2000",2693681
"19","Kentucky","2000",4049021
"20","Louisiana","2000",4471885
"21","Maine","2000",1277072
"22","Maryland","2000",5311034
"23","Massachusetts","2000",6361104
"24","Michigan","2000",9952450
"25","Minnesota","2000",4933692
"26","Mississippi","2000",2848353
"27","Missouri","2000",5607285
"28","Montana","2000",903773
"29","Nebraska","2000",1713820
"30","Nevada","2000",2018741
"31","New Hampshire","2000",1239882
"32","New Jersey","2000",8430621
"33","New Mexico","2000",1821204
"34","New York","2000",19001780
"35","North Carolina","2000",8081614
"36","North Dakota","2000",642023
"37","Ohio","2000",11363543
"38","Oklahoma","2000",3454365
"39","Oregon","2000",3429708
"40","Pennsylvania","2000",12284173
"41","Rhode Island","2000",1050268
"42","South Carolina","2000",4024223
"43","South Dakota","2000",755844
"44","Tennessee","2000",5703719
"45","Texas","2000",20944499
"46","Utah","2000",2244502
"47","Vermont","2000",609618
"48","Virginia","2000",7105817
"49","Washington","2000",5910512
"50","West Virginia","2000",1807021
"51","Wisconsin","2000",5373999
"52","Wyoming","2000",494300
"53","United States","2001",284968955
"54","Alabama","2001",4467634
"55","Alaska","2001",633714
"56","Arizona","2001",5273477
"57","Arkansas","2001",2691571
"58","California","2001",34479458
"59","Colorado","2001",4425687
"60","Connecticut","2001",3432835
"61","Delaware","2001",795699
"62","District of Columbia","2001",574504
"63","Florida","2001",16356966
"64","Georgia","2001",8377038
"65","Hawaii","2001",1225948
"66","Idaho","2001",1319962
"67","Illinois","2001",12488445
"68","Indiana","2001",6127760
"69","Iowa","2001",2931997
"70","Kansas","2001",2702162
"71","Kentucky","2001",4068132
"72","Louisiana","2001",4477875
"73","Maine","2001",1285692
"74","Maryland","2001",5374691
"75","Massachusetts","2001",6397634
"76","Michigan","2001",9991120
"77","Minnesota","2001",4982796
"78","Mississippi","2001",2852994
"79","Missouri","2001",5641142
"80","Montana","2001",906961
"81","Nebraska","2001",1719836
"82","Nevada","2001",2098399
"83","New Hampshire","2001",1255517
"84","New Jersey","2001",8492671
"85","New Mexico","2001",1831690
"86","New York","2001",19082838
"87","North Carolina","2001",8210122
"88","North Dakota","2001",639062
"89","Ohio","2001",11387404
"90","Oklahoma","2001",3467100
"91","Oregon","2001",3467937
"92","Pennsylvania","2001",12298970
"93","Rhode Island","2001",1057142
"94","South Carolina","2001",4064995
"95","South Dakota","2001",757972
"96","Tennessee","2001",5750789
"97","Texas","2001",21319622
"98","Utah","2001",2283715
"99","Vermont","2001",612223
"100","Virginia","2001",7198362
"101","Washington","2001",5985722
"102","West Virginia","2001",1801481
"103","Wisconsin","2001",5406835
"104","Wyoming","2001",494657
"105","United States","2002",287625193
"106","Alabama","2002",4480089
"107","Alaska","2002",642337
"108","Arizona","2002",5396255
"109","Arkansas","2002",2705927
"110","California","2002",34871843
"111","Colorado","2002",4490406
"112","Connecticut","2002",3458749
"113","Delaware","2002",806169
"114","District of Columbia","2002",573158
"115","Florida","2002",16689370
"116","Georgia","2002",8508256
"117","Hawaii","2002",1239613
"118","Idaho","2002",1340372
"119","Illinois","2002",12525556
"120","Indiana","2002",6155967
"121","Iowa","2002",2934234
"122","Kansas","2002",2713535
"123","Kentucky","2002",4089875
"124","Louisiana","2002",4497267
"125","Maine","2002",1295960
"126","Maryland","2002",5440389
"127","Massachusetts","2002",6417206
"128","Michigan","2002",10015710
"129","Minnesota","2002",5018935
"130","Mississippi","2002",2858681
"131","Missouri","2002",5674825
"132","Montana","2002",911667
"133","Nebraska","2002",1728292
"134","Nevada","2002",2173791
"135","New Hampshire","2002",1269089
