"state","year","co2_emission","total_num_investments","total_amnt_assist","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","employment_total","employment_wage_salary","employment_proprietors","employment_proprietors_farm","employment_proprietors_nonfarm","employment_farm","employment_nonfarm","employment_nonfarm_private","employment_forestry_fishing_related","employment_mining_quarrying_oil_gas","employment_utilities","employment_contrsuction","employment_manufacturing","employment_wholesale_trade","employment_retail_trade","employment_transportation_warehousing","employment_information","employment_finance_insurance","employment_real_estate_rental_leasing","employment_professional_scientific_technical","employment_management_companies","employment_administrative_support_waste_remediation","employment_educational","employment_healh_care","employment_arts_entertainment_recreation","employment_accommodation_food","employment_other_services","employment_government_gov_enterprises","employment_federal_civilian","employment_military","employment_state_local","employment_state","employment_local","gdp_all_industry_total","gdp_private_industries","gdp_agriculture_forestry_fishing_hunting","gdp_farms","gdp_forestry_fishing_related","gdp_mining_quarrying_oil_gas","gdp_oil_gas","gdp_mining","gdp_support_activities_mining","gdp_utlilities","gdp_construction","gdp_manufacturing","gdp_durable_goods_manufacturing","gdp_wood_product_manufacturing","gdp_nonmetallic_mineral_product_manufacturing","gdp_primary_metal_manufacturing","gdp_fabricated_metal_product_manufacturing","gdp_machinery_manufacturing","gdp_computer_electronic_manufacturing","gdp_electrical_equipment_appliance_manufacturing","gdp_vehicles_trailers_parts_manufacturing","gdp_other_transportation_equipment_manufacturing","gdp_furniture_manufacturing","gdp_miscellaneous_manufacturing","gdp_nondurable_goods_manufacturing","gdp_food_beverage_tabacco_manufacturing","gdp_textile","gdp_apparel_manufacturing","gdp_paper_manufacturing","gdp_printing","gdp_petroleum_coal_manufacturing","gdp_chemical_manufacturing","gdp_plastics_rubber_manufacturing","gdp_wholesale_trade","gdp_retail_trade","gdp_transportation_warehousing","gdp_air_transportation","gdp_rail_transportation","gdp_water_trasnportation","gdp_truck_transportation","gdp_ground_passenger_transportation","gdp_pipeline_transportation","gdp_other_transportation","gdp_warehousing","gdp_information","gdp_publishing_industries","gdp_motion_pictures","gdp_broadcasting","gdp_data_processing_hosting","gdp_finance_insurance_real_estate","gdp_finance_insurance","gdp_monetary_authorities","gdp_securities_contracts","gdp_insurance_carriers","gdp_funds_trusts","gdp_real_estate_rental_leasing","gdp_real_estate","gdp_rental_leasing","gdp_professional_business","gdp_professional_scientific_technical","gdp_legal","gdp_computer_systems_design","gdp_misc_professional_scientific","gdp_management_companies_enterprises","gdp_administrative_support_waste","gdp_administrative_support","gdp_waste_remediation","gdp_educational_health_social","gdp_educational","gdp_health_care_social","gdp_ambulatory_health","gdp_hospitals","gdp_nursing","gdp_social_assistance","gdp_arts_entertainment_recreation_accommodation_food","gdp_arts_entertainment_recreation","gdp_performing_arts_spectator_sports_museums","gdp_amusement_gambling","gdp_accommodation_food","gdp_accommodation","gdp_food_services","gdp_other_services","gdp_government_gov_enterprises","gdp_federal_civilian","gdp_military","gdp_state_local","gdp_natural_resources_mining","gdp_trade","gdp_transportation_utlities","gdp_manufacturing_information","gdp_goods_producing_industries","gdp_services_providing_industries","region","party_governer","party_prop_representative","party_prop_senator","median_household_income","population","number_photovoltaic_shipments"
"Alaska",2020,35.9675267093938,37,9567164,0,0,0,0,15523,15.206,1021,5.691,0,0,186,15475,16851,376283,1.112,338329,0,932482,163852,24682,62,1348969,640132,0,7423,7423,407,7831,1128,430824,331865,98959,918,98041,1412,429412,328522,NA,13697,2467,23285,NA,7072,41886,24037,5956,11771,17033,22381,3435,16105,4922,52252,8852,28850,19689,100890,15438,26561,58891,22625,36266,50246.7,38761.7,359,NA,NA,4836.9,NA,NA,NA,903.9,2116.8,1757.4,244.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513.2,NA,NA,NA,NA,NA,NA,NA,NA,1458.1,2418.8,6775.3,NA,NA,NA,NA,NA,NA,NA,NA,1065.8,NA,NA,NA,NA,7017,1470.6,NA,NA,NA,NA,5546.4,NA,NA,3307,1874.3,NA,NA,NA,355,1077.7,NA,NA,4430.1,187,4243.1,NA,NA,NA,NA,1449.1,219.9,NA,NA,1229.2,NA,NA,866.6,11485,2332.9,2375.8,6776.2,5195.9,3876.9,7679.1,2823.1,9070.1,29691.6,"West",1,1,1,78236,731158,NA
"Alabama",2020,98.3085848750695,47,1174323,1558,287,1558,287,313282,25.782,12151,5.691,0,0,141,117112,120692,124831,1.067,117028,454756,24528,4310,288515,3439,1205912,1838656,5592,164778,159187,1487,166266,0,2671253,2044151,627102,34755,592347,41181,2630072,2223316,15982,8739,13509,157497,269248,80840,279556,98407,25564,120357,118461,158952,19567,180248,37462,251816,37611,179356,170144,406756,55961,28575,322220,111438,210782,224870.6,186127,1929.4,NA,NA,1594.9,NA,NA,NA,6223.4,8877,38015.7,23737.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14278.2,NA,NA,NA,NA,NA,NA,NA,NA,13066,15636.7,5616.5,NA,NA,NA,NA,NA,NA,NA,NA,4533.6,NA,NA,NA,NA,38498.3,13610.5,NA,NA,NA,NA,24887.8,NA,NA,23465.6,15054.1,NA,NA,NA,2118.9,6292.5,NA,NA,17719,1307.4,16411.5,NA,NA,NA,NA,5657.8,610.9,NA,NA,5046.9,NA,NA,5293,38743.6,9491.9,5223.7,24027.9,3524.4,28702.8,11840,42549.3,50417.1,135709.9,"South",1,0.857142857142857,0.5,57243,4921532,NA
"Arkansas",2020,54.7427460739555,174,61208016,8437,1553,8437,1553,0,0,0,5.691,0,0,808,39747,43767,489956,1.019,480982,157288,23578,4143,111538,3212,782360,1034661,0,55743,55743,3591,59334,0,1640442,1260663,379779,38163,341616,55092,1585350,1363263,14464,9304,8260,97511,160488,50670,167575,76591,15116,67852,66121,68790,35840,91367,21805,192866,21004,106983,90656,222087,21272,14965,185850,78668,107182,129073.9,112336.8,1940.7,NA,NA,732.5,NA,NA,NA,3814.6,5381.3,18699.8,9041.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9658.6,NA,NA,NA,NA,NA,NA,NA,NA,10137,9526.7,4766.8,NA,NA,NA,NA,NA,NA,NA,NA,2338.3,NA,NA,NA,NA,21694.5,6966.3,NA,NA,NA,NA,14728.3,NA,NA,14306.6,4924.3,NA,NA,NA,5644.2,3738,NA,NA,12176.2,835.6,11340.6,NA,NA,NA,NA,3939.7,628.4,NA,NA,3311.3,NA,NA,2882.1,16737.1,2723.8,922.3,13091,2673.3,19663.7,8581.4,21038.1,26754.3,85582.5,"South",1,1,1,53148,3030522,172058
"Arizona",2020,80.1367075383411,24,23756565,0,0,0,0,0,0,0,5.691,0,0,345,56354,142484,68,1.028,66,329471,28,5,152046,80134,481613,1508154,0,9297,9297,265,9562,5651,3920036,2967819,952217,17845,934372,30310,3889726,3437543,14624,18519,12743,244946,191561,111657,392965,203827,57227,279780,228281,260112,42258,308238,80763,451053,75527,266680,196782,452183,58974,35715,357494,95516,261978,372461,325607.8,2881.7,NA,NA,3930.3,NA,NA,NA,7166.8,19472.8,31112.1,25785.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5326.2,NA,NA,NA,NA,NA,NA,NA,NA,20542.3,27683.3,10838,NA,NA,NA,NA,NA,NA,NA,NA,13633.6,NA,NA,NA,NA,88560.5,28420.8,NA,NA,NA,NA,60139.7,NA,NA,42498.1,21172.4,NA,NA,NA,4649.4,16676.3,NA,NA,35826.4,4093,31733.3,NA,NA,NA,NA,14498.5,2660.4,NA,NA,11838.1,NA,NA,6963.4,46853.1,8555.1,4419.8,33878.2,6812,48225.6,18004.8,44745.7,57397,268210.9,"West",1,0.444444444444444,0.333333333333333,70220,7421401,723479
"California",2020,303.406714159634,442,58722209,4868,896,20264,3606,0,0,0,5.691,15395,2710,101857,187545,845282,192081,1.126,170579,169773,814462,143114,1013850,436716,2190166,6922764,0,108611,108611,39694,148305,119164,23155486,17296866,5858620,57337,5801283,231488,22923998,20189055,245782,35524,63653,1210640,1361111,728692,1942803,1270086,612122,1158026,1217024,2048058,277688,1454546,521300,2752113,528023,1436377,1325487,2734943,260501,197728,2276714,558330,1718384,3091871.5,2745856.3,40206,NA,NA,5145.1,NA,NA,NA,41798.4,119640.3,316277.2,197320.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118956.9,NA,NA,NA,NA,NA,NA,NA,NA,161062.9,158210.5,76104.5,NA,NA,NA,NA,NA,NA,NA,NA,312657.4,NA,NA,NA,NA,717262.7,162603.2,NA,NA,NA,NA,554659.5,NA,NA,419337.6,282833,NA,NA,NA,46193.7,90310.9,NA,NA,222931.2,32036.1,190895.2,NA,NA,NA,NA,102953.8,27727.4,NA,NA,75226.4,NA,NA,52268.7,346015.3,48989.7,30227.3,266798.2,45351.1,319273.4,117902.9,628934.6,481268.6,2264587.6,"West",0,0.148148148148148,0,81278,39368078,4061504
"Colorado",2020,79.8935675110129,46,6304206,0,0,18248,3212,210494,20.977,10035,5.691,18248,3212,759,14638,152466,2423537,1.218,1990462,0,955132,167832,186132,19632,3775295,1451112,0,14333,14333,1084,15418,117437,3821923,2787065,1034858,35311,999547,49011,3772912,3265213,13962,41199,9126,269501,163308,118125,329205,169534,88613,240832,231196,365968,50509,204979,74910,352162,92945,251941,197198,507699,54740,56277,396682,130454,266228,390098.7,342190.2,2231.4,NA,NA,8360.5,NA,NA,NA,4419.1,23593.9,26614.5,17079.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9535.2,NA,NA,NA,NA,NA,NA,NA,NA,21646.2,21467.1,12814.2,NA,NA,NA,NA,NA,NA,NA,NA,25661,NA,NA,NA,NA,84050.5,23235.7,NA,NA,NA,NA,60814.8,NA,NA,59940.2,39130.1,NA,NA,NA,8743,12067,NA,NA,27199.8,3406.2,23793.6,NA,NA,NA,NA,15890.1,4264.8,NA,NA,11625.4,NA,NA,8301.7,47908.5,9846,5512,32550.6,10591.9,43113.3,17233.4,52275.5,60800.3,281389.9,"West",0,0.428571428571429,0.5,87689,5807719,152152
"Connecticut",2020,33.7683325648322,13,491729,2627,484,2627,484,0,0,0,0,0,0,21,2860,12285,0,0,0,164095,0,0,37394,9298,201489,667011,0,13126,13126,9356,22482,107,2217497,1628363,589134,5018,584116,9400,2208097,1970346,NA,NA,5753,113838,162612,63118,198700,90303,36485,200369,124633,159097,36793,114589,87678,304578,46267,112240,109013,237751,19233,11989,206529,72929,133600,280900.3,253129.4,377.5,NA,NA,135.4,NA,NA,NA,4809.4,8381.4,29145.1,21075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8070.2,NA,NA,NA,NA,NA,NA,NA,NA,14062.6,14454.6,4835.7,NA,NA,NA,NA,NA,NA,NA,NA,17257.5,NA,NA,NA,NA,85659.4,42078.9,NA,NA,NA,NA,43580.5,NA,NA,33166.2,19045.9,NA,NA,NA,6637.5,7482.8,NA,NA,28778.5,6557.2,22221.2,NA,NA,NA,NA,7059.8,1605.3,NA,NA,5454.5,NA,NA,5006.4,27770.9,3307.8,3351.8,21111.3,512.9,28517.2,9645.1,46402.6,38039.5,215089.9,"Northeast",0,0,0,83141,3557006,119252
"Delaware",2020,12.4713014007627,29,23750266,0,0,0,0,0,0,0,0,0,0,430,0,2118,0,0,0,0,0,0,3571,1642,3571,277144,0,644,644,810,1454,45,592045,451844,140201,1883,138318,3081,588964,514502,1148,278,2171,33503,27161,12510,58072,29481,5464,65926,31392,37937,11283,35439,8721,77329,12853,37221,26613,74462,6046,8967,59449,32243,27206,75512.5,67622.7,NA,NA,NA,NA,NA,NA,NA,1098.3,3114.6,4483.2,1397.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3086,NA,NA,NA,NA,NA,NA,NA,NA,1937.8,2993.1,1067.3,NA,NA,NA,NA,NA,NA,NA,NA,1007.6,NA,NA,NA,NA,34393.7,21933.8,NA,NA,NA,NA,12459.9,NA,NA,8428.2,4700.8,NA,NA,NA,1809.4,1918,NA,NA,6021.3,426.3,5595,NA,NA,NA,NA,1686.8,312.9,NA,NA,1373.9,NA,NA,974.7,7889.7,873.6,639.9,6376.2,416.2,4930.9,2165.6,5490.8,8013.9,59608.8,"South",0,0,0,73292,986809,NA
"Florida",2020,207.636325496673,25,8467648,167,31,167,31,0,0,0,5.691,0,0,10056,2033,106617,1037,1.486,698,307197,8468,1488,258173,94529,574876,4003133,11932,92788,80856,58601,151389,0,12720098,8902524,3817574,38760,3778814,80821,12639277,11438463,61222,15923,26375,839560,426078,397959,1290220,669663,175093,860997,858957,959501,156031,999823,233934,1390000,322207,916096,838824,1200814,150008,101380,949426,252895,696531,1095888.2,976080.7,6408,NA,NA,971.6,NA,NA,NA,19556.5,62080.9,58907.9,37116.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21791.2,NA,NA,NA,NA,NA,NA,NA,NA,75564,81635,34986.6,NA,NA,NA,NA,NA,NA,NA,NA,42782.6,NA,NA,NA,NA,265904.7,72394.9,NA,NA,NA,NA,193509.9,NA,NA,143483.7,82261.7,NA,NA,NA,18044.6,43177.4,NA,NA,102693.4,10771.4,91922,NA,NA,NA,NA,54281.1,14150.2,NA,NA,40131,NA,NA,26824.5,119807.6,20573.2,11510.5,87723.9,7379.7,157199,54543.1,101690.5,128368.5,847712.2,"South",1,0.518518518518518,1,60460,21733312,659102
"Georgia",2020,116.591838807218,151,7307409,1327,244,7968,1413,0,0,0,0,6641,1169,315,40905,77605,0,0,0,342766,0,0,313196,36385,655962,2727565,19380,220958,201578,6665,227623,0,6326942,4604892,1722050,34880,1687170,56389,6270553,5492867,25619,8642,21092,370467,411486,228948,609381,364251,132460,329294,301723,445912,98182,504615,123382,584064,114154,424938,394257,777686,107617,96112,573957,171456,402501,619240,547156.6,3086.3,NA,NA,939.6,NA,NA,NA,11639.4,27747.3,59480.1,29150.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30330,NA,NA,NA,NA,NA,NA,NA,NA,45031.3,35314.8,22421.1,NA,NA,NA,NA,NA,NA,NA,NA,46215,NA,NA,NA,NA,140816.2,54159.8,NA,NA,NA,NA,86656.4,NA,NA,79262.5,42365.9,NA,NA,NA,15024.1,21872.5,NA,NA,46704.4,6902.9,39801.6,NA,NA,NA,NA,17583.6,3009.6,NA,NA,14574,NA,NA,10914.9,72083.4,15884.1,8483.9,47715.4,4026,80346.1,34060.5,105695.1,91253.4,455903.2,"South",1,0.6,1,62033,10710017,NA
