"State","Year","CO2 Emissions (Mmt)","TotalNumberofInvestments","TotalAmountofAssistance","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","Total employment (number of jobs)","Wage and salary employment","Proprietors employment","Farm proprietors employment","Nonfarm proprietors employment 2/","Farm employment","Nonfarm employment","Private nonfarm employment","Forestry, fishing, and related activities.x","Mining, quarrying, and oil and gas extraction.x","Utilities.x","Construction.x","Manufacturing.x","Wholesale trade.x","Retail trade.x","Transportation and warehousing.x","Information.x","Finance and insurance.x","Real estate and rental and leasing.x","Professional, scientific, and technical services.x","Management of companies and enterprises.x","Administrative and support and waste management and remediation services.x","Educational services.x","Health care and social assistance.x","Arts, entertainment, and recreation.x","Accommodation and food services.x","Other services (except government and government enterprises).x","Government and government enterprises.x","Federal civilian.x","Military.x","State and local.x","State government","Local government","All industry total","Private industries","Agriculture, forestry, fishing and hunting","Farms","Forestry, fishing, and related activities.y","Mining, quarrying, and oil and gas extraction.y","Oil and gas extraction","Mining (except oil and gas)","Support activities for mining","Utilities.y","Construction.y","Manufacturing.y","Durable goods manufacturing","Wood product manufacturing","Nonmetallic mineral product manufacturing","Primary metal manufacturing","Fabricated metal product manufacturing","Machinery manufacturing","Computer and electronic product manufacturing","Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing","Other transportation equipment manufacturing","Furniture and related product manufacturing","Miscellaneous manufacturing","Nondurable goods manufacturing","Food and beverage and tobacco product manufacturing","Textile mills and textile product mills","Apparel, leather, and allied product manufacturing","Paper manufacturing","Printing and related support activities","Petroleum and coal products manufacturing","Chemical manufacturing","Plastics and rubber products manufacturing","Wholesale trade.y","Retail trade.y","Transportation and warehousing.y","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Information.y","Publishing industries (except Internet)","Motion picture and sound recording industries","Broadcasting (except Internet) and telecommunications","Data processing, hosting, and other information services","Finance, insurance, real estate, rental, and leasing","Finance and insurance.y","Monetary Authorities- central bank, credit intermediation, and related services","Securities, commodity contracts, and other financial investments and related activities","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Real estate and rental and leasing.y","Real estate","Rental and leasing services and lessors of nonfinancial intangible assets","Professional and business services","Professional, scientific, and technical services.y","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises.y","Administrative and support and waste management and remediation services.y","Administrative and support services","Waste management and remediation services","Educational services, health care, and social assistance","Educational services.y","Health care and social assistance.y","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation.y","Performing arts, spectator sports, museums, and related activities","Amusement, gambling, and recreation industries","Accommodation and food services.y","Accommodation","Food services and drinking places","Other services (except government and government enterprises).y","Government and government enterprises.y","Federal civilian.y","Military.y","State and local.y","Natural resources and mining","Trade","Transportation and utilities","Manufacturing and information","Private goods-producing industries 2/","Private services-providing industries 3/","Region","Party","Representative","Senator"
"Alaska",2015,35.0278035998431,16,3345612,21,4,21,4,17747,15.073,1177,5.717,0,0,186,14621,16298,380887,1.108,343625,0,1007501,176229,23807,3,1429942,614242,0,6865,6865,622,7488,1488,461649,367606,94043,776,93267,1241,460408,355608,10193,21130,2280,25016,16719,8181,45812,23693,7262,11052,16753,24650,3648,17053,6067,50234,10117,34956,20792,104800,14959,26094,63747,25534,38213,50728.1,40369.7,458.5,22.5,436,7737.1,4828,1237.5,1671.6,762,2131.1,1826.8,255.8,75.7,49,2.3,42.6,15.5,12.8,1.9,3.6,29.2,13.7,9.5,1571,926.6,6.7,0.8,0.7,22.3,597.2,7.8,8.9,1271.7,2221.4,6120.2,885.8,0,303.3,322.8,165.8,3645.4,755.2,41.8,1423.7,79.4,24.3,1286.9,33.1,6239.6,1285.5,780,80.8,409.8,14.8,4954.1,4344.1,610.1,3618.1,2129.1,184.3,151.7,1793.1,382.5,1106.4,862.3,244.1,3856.6,191.4,3665.2,1883.2,1167.6,207.1,407.3,1837.3,298.6,94,204.6,1538.7,635.4,903.4,865.5,10358.4,2003.4,2250.7,6104.3,8195.6,3493.1,6882.2,3250.5,12153.5,28216.2,"West",0,1,1
"Alabama",2015,119.200889262212,164,1864412,1933,356,1933,356,331420,25.122,13193,5.717,0,0,141,91902,92144,182481,1.085,168246,438728,55421,9694,258955,101,1267004,1917138,0,163313,163313,1565,164877,0,2587451,2025178,562273,37080,525193,44531,2542920,2143819,16141,12995,14960,136107,267881,86430,283531,78800,27397,108724,100197,142963,17440,171816,41171,241955,34730,186439,174142,399101,53087,29914,316100,103534,212566,200197.5,166301.8,2665.5,2068.1,597.4,1901.4,320.6,1487.8,93,5995,6782.9,33468,21402.5,1267.7,910.6,3540.6,2368.9,1033.3,1128.8,763.6,5841.8,3182.5,837.4,527.2,12065.5,2329.7,550.7,182.9,2776.2,266.9,1183.8,3082.6,1692.8,11553.5,13347.1,5180.5,181.5,759.6,170.2,2196.8,104,126.7,991,650.7,4437.3,891.8,119,3109.8,316.7,34674.3,12910.9,7558.3,742.1,4592.7,17.7,21763.4,19951.8,1811.6,18815.5,11816.1,2209,2665.6,6941.5,1816.8,5182.6,4727.5,455.1,16014.6,1293.1,14721.4,8827.6,3603.1,1558.9,731.9,6299.8,706.2,312.1,394.1,5593.6,962.7,4630.9,5166.3,33895.7,8192,4090.9,21612.9,4566.9,24900.6,11175.4,37905.4,44817.8,121483.9,"South",1,0.857142857142857,1
"Arkansas",2015,59.0533645489249,477,13453887,4429,815,4429,815,1819,19.893,91,5.717,0,0,808,33261,34194,1031466,1.021,1010382,144716,35611,6229,117840,124,1331452,1062359,0,75417,75417,3799,79217,0,1610805,1265002,345803,39934,305869,52512,1558293,1326918,14379,16750,8248,85161,160559,54068,171890,70017,16391,58169,55914,64912,34703,89311,22602,182666,20264,109015,91899,231375,20330,17314,193731,84252,109479,117734.3,102085.2,2823.8,2239.7,584,1979.1,1222.4,350.6,406.1,3218.3,4225.7,17535.2,8489.4,926.1,375.6,1203.6,1802.9,1219.1,316.7,560.7,517.2,1138.7,232.4,196.4,9045.8,3809.9,61.6,77.4,1767.5,297.7,595,1018.5,1418.3,9325.4,8220.8,4999.3,86.6,789.1,2.9,2810.9,86.1,117.3,716.7,389.7,2557.7,451.3,81.3,1747,278,18236.4,5558.5,2696.6,505,2326.7,30.1,12677.9,11618.5,1059.4,11970.6,4189.7,718.6,1020.3,2450.9,4742.2,3038.7,2730.6,308.1,10556.9,766.1,9790.8,4669,2912.1,1084.6,1125,3732.4,505.7,207.7,298,3226.7,540.9,2685.8,2703.7,15649.1,2406.4,900.8,12341.8,4802.9,17546.2,8217.6,20092.8,26563.8,75521.4,"South",0,1,1
"Arizona",2015,94.9787844294639,65,1724853,12,2,6602,1157,146450,21.522,6805,5.717,6590,1154,345,60906,113693,99,1.04,95,340153,212,37,128954,48229,615867,1495858,0,8001,8001,658,8659,4213,3547627,2745054,802573,18284,784289,31868,3515759,3072076,16550,22499,12657,178896,171753,114500,390405,114731,55888,224149,203223,224087,37260,292063,79116,389572,76802,277456,190469,443683,54687,31352,357644,91285,266359,298615,259048.2,2346.6,1744.5,602.1,4135.3,22.8,4017.1,95.5,6399.8,11663.6,25791,21341.4,252.8,725.9,913.9,1739.6,819.2,9191.2,388.7,511,5028,393.6,1377.5,4449.6,1875,143.8,23.5,202.9,505.6,152.6,908.5,637.9,17201.7,22067.1,9517,3445.3,846.1,4.6,2059.3,694.3,96.4,1792.2,578.8,9888.5,1753.5,276.4,5745.6,2113.1,67129.8,21261.1,9968.4,2158.4,8211.9,922.5,45868.7,41074.1,4794.6,34141.1,16953.4,2544.5,3730.8,10678.1,3819,13368.7,12597.6,771.1,28924.2,3845.3,25078.9,13509.1,7767.2,2091.3,1711.2,13777.6,3135.9,1737.6,1398.3,10641.7,3058.1,7583.7,6064.8,39566.7,7060.7,3575,28931,6481.9,39268.8,15916.8,35679.5,43936.6,215111.7,"West",1,0.5,1
"California",2015,351.408516045485,1023,30077512,4057,747,30601,5397,0,0,0,5.717,26544,4650,112878,128681,567365,271086,1.146,236648,193529,1150741,201284,737527,211839,2352883,7525491,0,98852,98852,40708,139561,113967,22687196,17187525,5499671,61164,5438507,240604,22446592,19752129,242516,63466,60918,1059033,1399150,855333,2076209,830904,576326,1019695,1132016,1967794,245565,1465285,524276,2506431,627437,1676052,1423723,2694463,245099,204985,2244379,521447,1722932,2559643.2,2253561.5,37996.6,27044.5,10952.1,9089.3,6878.3,1054.1,1156.9,33253.7,87926.4,279845.4,166369.8,1863.5,3984.6,1815.2,13490.5,11939.3,91529.6,4502.6,4171.7,17332.2,2552.3,13188.3,113475.5,29372.9,1197.7,3123.3,2894.8,3514.6,19756.5,48669,4946.7,152035.6,139247.4,61074.7,14721.7,1728.4,1518.4,15611.5,4808.2,867.6,15692.7,6126.2,219737.4,49294.4,44523.6,67127.6,58791.8,550580.8,125980,61184.6,24271.4,39421.4,1102.6,424600.8,397896.4,26704.4,337111.3,228747.6,33764,54801.8,140181.8,37804.3,70559.4,64730.3,5829.1,185708,28729.6,156978.4,81293.9,43811.9,13341.6,18531,109726.5,35547.5,24862.4,10685.1,74179,17720.5,56458.5,50228.3,306081.7,40311,28120.4,237650.4,47085.9,291283,94328.5,499582.8,414857.6,1838703.9,"West",0,0.225806451612903,0
"Colorado",2015,91.3038716058848,206,1658730,0,0,19861,3479,403605,21.379,18879,5.717,19861,3479,759,15098,91789,1965188,1.164,1688733,0,698737,122221,126586,6270,3194117,1501006,0,13804,13804,1133,14936,69662,3574243,2669923,904320,33992,870328,45625,3528618,3051034,12239,64016,9092,226481,158435,121303,330947,104092,83418,202659,204744,320800,41443,205435,72714,325308,95800,279405,192703,477584,53431,53053,371100,113873,257227,317992.4,278529.9,2781.1,2427.4,353.6,10542.4,6815.1,1371.7,2355.7,4057,16443.2,23310.9,14335.9,250.7,1261.6,316,1485.4,1329.1,5437,455.9,107.7,1639.3,533.8,1519.2,8975,3895.6,201.8,43.9,106.1,443,1379.1,2179.6,726,18697.4,17083.8,12182.7,3477.1,786.3,19.8,2094.5,532,3293.8,1545.8,433.4,18149.1,5198.7,487.5,9419.8,3043,62253,17441.5,6921.5,3460.5,6716.6,342.9,44811.5,41463.6,3348,46354.7,29851,3231.1,7710.5,18909.5,6880.8,9622.9,8764.6,858.3,23096,2898.5,20197.5,11173.8,5334,1867.1,1822.6,16267.6,5399.7,2193.6,3206.1,10867.9,3085.8,7782,7311.1,39462.5,8164.2,4772.7,26525.5,13323.5,35781.2,16239.7,41460,53077.6,225452.3,"West",0,0.583333333333333,0.5
"Connecticut",2015,36.3290492427924,33,1340702,715,132,715,132,0,0,0,0,0,0,21,2819,5792,0,0,0,182083,0,0,33234,2952,215318,756746,0,15661,15661,11067,26728,0,2288113,1740231,547882,5180,542702,10637,2277476,2017228,2323,3692,6281,111679,168113,73657,222579,59683,39098,191171,118045,164138,35972,119955,85387,302859,52875,137984,121737,260248,17774,13538,228936,78131,150805,262372.7,235608.1,371.1,301.5,69.6,236.1,0,230.1,6.1,4741.3,7404.9,29958.5,21060.5,91.9,250.8,372.6,3727.4,1932.8,2082,1524.4,485.9,8263.6,183,2146,8898.1,1490.8,179.6,99.9,422.7,476.4,225.4,5382.6,620.7,15803.4,13206.1,5508.8,449.1,55.9,470.1,785,975.3,1030.6,1136.3,606.5,13430.8,2339.5,1650.2,8202,1239.2,73796.2,37632.4,5945.5,8815.1,22587.4,284.4,36163.7,33713,2450.7,31775.3,17689.1,2796.2,4138.3,10754.6,7045.7,7040.5,6261.6,778.9,26281.5,5845.6,20435.9,9352.2,5897.4,3224.5,1961.8,8210.5,2375.6,1316.5,1059,5835,1299.3,4535.7,4883.4,26764.6,2763.7,2912,21089,607.3,29009.6,10250.1,43389.4,37970.7,197637.4,"Northeast",0,0,0
"District of Columbia",2015,2.95688079719373,NA,NA,0,0,0,0,0,0,0,0,0,0,22,0,326,0,0,0,0,0,0,824,304,824,178222,0,0,0,498,498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware",2015,13.9053954012537,68,1452666,0,0,0,0,0,0,0,0,0,0,430,0,1708,0,0,0,0,0,0,3517,1230,3517,284672,0,1044,1044,765,1809,48,568952,459200,109752,1962,107790,3702,565250,491914,NA,NA,2250,29945,28538,13969,61994,18086,6170,57270,27513,39438,6374,32744,9793,72812,15258,41016,26909,73336,5665,8702,58969,32319,26650,71547.8,64990.2,486.8,450.1,36.7,3.6,0,3.6,0,1042.3,2371.3,4914,1419.8,22.7,49.1,33.4,129.8,117,618.7,182.3,8.9,81,36.4,140.6,3494.3,881.4,55.8,1.8,176,39,529.1,1542.2,269,2167.2,2622.9,1090,28.1,127.5,3,258,97,4.6,293.5,278.4,1108.9,187.3,22.9,507,391.7,33390.7,22676.6,10626.3,1046.3,10981.4,22.6,10714.1,7350,3364.1,7615.6,5209.4,1517.8,623.3,3068.3,855.8,1550.4,1412.5,137.8,5414.1,441.1,4973,1819.4,2221.9,561.7,370,1827.8,435.9,89.6,346.3,1391.9,242.2,1149.7,934.9,6557.6,738.8,569.3,5249.5,490.4,4790.1,2132.4,6023,7775.7,57214.4,"South",0,0,0
"Florida",2015,237.383359200057,45,3527420,645,119,645,119,0,0,0,5.717,0,0,10056,2277,42466,1162,1.521,764,294099,12623,2208,223761,30133,531646,4324701,0,111608,111608,69043,180650,0,11367160,8472297,2894863,39063,2855800,81154,11286006,10120727,61456,27384,25107,610809,383571,406073,1271844,399756,173643,659356,708640,796889,119635,897188,222678,1254173,334316,979206,789003,1165279,134195,93755,937329,253943,683386,897754.7,792813.1,6931,4802.4,2128.6,1027,38.4,923.1,65.5,17062,39088.5,48576,28082.6,823.4,2687.6,492.8,3190.6,2997,7361.2,1183.6,559,4193.2,838.3,3755.9,20493.4,6653.3,321,216.2,1781.1,1433.2,1340.2,7472.3,1276.1,65260.3,65781.9,30060.1,9564.9,958.9,3535.3,4911.3,1547.5,72.7,7439.2,2030.3,37193.4,6863.9,1714.2,22908.6,5706.8,201878.5,52427.3,16208.9,7854,27848.6,515.8,149451.1,135726.3,13724.8,113217.9,64322.4,15363.4,10026,38932.9,13811.9,35083.6,32879.3,2204.2,86991.9,10015.8,76976.1,42037,22686.3,7823.7,4429,55526.2,14822.5,6062.8,8759.8,40703.7,14015.6,26688.1,24218.3,104941.6,16799.8,10128.6,78013.2,7958.1,131042.2,47122.1,85769.4,95622.6,697190.5,"South",1,0.58974358974359,0.666666666666667
